w.length,s.q.response
1.992613161681E2,7.025833089322E1
2.004584995033E2,7.172384841503E1
2.005032218691E2,6.854856044051E1
2.023557598747E2,6.671666352688E1
2.036002457123E2,6.482370338281E1
2.056232616801E2,6.305377350352E1
2.073990649431E2,6.129775634930E1
2.091755552238E2,5.949296094080E1
2.205763042326E2,5.815887568613E1
2.266806279491E2,5.989294262592E1
2.319066339306E2,6.182456149557E1
2.396662236607E2,6.345375518865E1
2.459151989468E2,6.182456149557E1
2.494436443898E2,5.995696408467E1
2.512210363811E2,5.808814721742E1
2.547496965171E2,5.620530660206E1
2.582765704071E2,5.444928944784E1
2.618041313148E2,5.264449403934E1
2.730144046757E2,5.102017817169E1
2.775630799404E2,5.269327229362E1
2.810404885584E2,5.444928944784E1
2.827668265495E2,5.620530660206E1
2.844931645405E2,5.796132375628E1
2.879680998950E2,5.989294262592E1
2.914455085131E2,6.164895978014E1
2.954634076693E2,6.336400320076E1
3.006918869144E2,6.512002035498E1
3.167766742786E2,6.586340095027E1
3.347787355835E2,6.551219751943E1
3.474452201770E2,6.410189624244E1
3.562271523081E2,6.221478752984E1
3.597552628299E2,6.037096951791E1
3.720334020999E2,5.890518297668E1
3.772628088189E2,6.059534948761E1
3.824888148004E2,6.252696835725E1
3.865067139566E2,6.424201177787E1
3.924600518007E2,6.599022441141E1
3.987147430738E2,6.775404608631E1
4.074453635730E2,6.951006324053E1
4.180700780369E2,7.112657458750E1
4.296255090732E2,7.262406699402E1
4.436155246124E2,7.394107985968E1
4.575874234957E2,7.499030010933E1
4.754029595044E2,7.588147881509E1
4.943619471057E2,7.639950387559E1
5.118677068488E2,7.675070730643E1
5.293759398554E2,7.692630902185E1
5.486352434891E2,7.710191073727E1
5.661434764957E2,7.727751245270E1
5.836541827660E2,7.727751245270E1
6.011648890362E2,7.727751245270E1
6.186780685701E2,7.710191073727E1
6.361937213675E2,7.675070730643E1
6.537118474286E2,7.622390216016E1
6.712871677103E2,7.552149529848E1
6.888102402985E2,7.464348672137E1
7.036816651523E2,7.373035780117E1
7.212096842677E2,7.250114579322E1
7.370561589439E2,7.117047501636E1
7.518620766632E2,6.981443954726E1
7.641368838976E2,6.858522753931E1
7.767043606576E2,6.729748162622E1
7.886889716299E2,6.595120180798E1
8.009687253914E2,6.437078636918E1
8.132491661707E2,6.274159267610E1
8.234849049724E2,6.123922244416E1
8.340135881069E2,5.965880700536E1
8.445447445051E2,5.790278985114E1
8.550759009032E2,5.614677269692E1
8.640733590638E2,5.449806770213E1
8.728509715713E2,5.291765226333E1
8.816310573424E2,5.116163510911E1
8.899976958821E2,4.940561795489E1
8.974376849940E2,4.782520251609E1
9.062202440287E2,4.589358364645E1
9.145893558320E2,4.396196477681E1
9.220318182074E2,4.220594762259E1
9.290608333515E2,4.044993046837E1
9.361634967894E2,3.864513505987E1
9.431188636396E2,3.693789615993E1
9.501478787837E2,3.518187900571E1
9.572530154852E2,3.320148188179E1
9.642845038928E2,3.126986301215E1
9.712398707431E2,2.956262411221E1
9.783450074446E2,2.758222698829E1
9.853764958523E2,2.565060811864E1
9.924079842599E2,2.371898924900E1
9.994394726676E2,2.178737037936E1
1.006394839518E3,2.008013147943E1
1.013499976219E3,1.809973435550E1
1.020455343070E3,1.639249545557E1
1.027484358214E3,1.463647830135E1
1.034513373358E3,1.288046114713E1
1.042882485161E3,1.094884227748E1
1.050324947537E3,9.192825123265E0
1.059105033308E3,7.436807969046E0
1.067662800162E3,5.924682086246E0
1.080232337975E3,4.490601410300E0
1.090431018033E3,3.516219473630E0
1.101401758423E3,2.783460708180E0
1.123339799021E3,1.562196099097E0
1.155016994853E3,5.851844118303E-1
1.182424064781E3,1.577417986513E-1
1.199475326851E3,3.561533774297E-2
