AS7343-VIS x,AS7343-VIS y
3.517494494739E2,9.799363836555E-3
3.541900670245E2,1.064128819502E-2
3.615057485368E2,1.131181110980E-2
3.647466786667E2,1.171331277294E-2
3.712290616963E2,1.524635093585E-2
3.740087358038E2,1.995699234716E-2
3.790888481811E2,3.178126547983E-2
3.811455179958E2,3.899991755797E-2
3.846241554325E2,5.485148586318E-2
3.862704240872E2,6.390857182162E-2
3.892626504312E2,8.130353910050E-2
3.912969496536E2,8.835468967102E-2
3.967392985694E2,9.716866152685E-2
3.998265488496E2,1.015462016020E-1
4.062701236808E2,1.120535521658E-1
4.090897878183E2,1.163911660993E-1
4.149730906130E2,1.236103669643E-1
4.180472308219E2,1.275259906265E-1
4.239411130818E2,1.362669472032E-1
4.271240023381E2,1.409341197927E-1
4.329157614198E2,1.502965266720E-1
4.357501982859E2,1.543664514543E-1
4.421683342274E2,1.623453884378E-1
4.449702255340E2,1.677677597148E-1
4.511662811966E2,1.776442653446E-1
4.538554493286E2,1.817514686898E-1
4.596751010550E2,1.909489358402E-1
4.628137262049E2,1.941582563986E-1
4.694449304539E2,2.009943509091E-1
4.724716879763E2,2.025711810092E-1
4.791340962914E2,2.113515535553E-1
4.817913698771E2,2.153322185432E-1
4.876694114396E2,2.250600844465E-1
4.903787765049E2,2.293244310750E-1
4.961992759559E2,2.379872587448E-1
4.993678888148E2,2.408939481767E-1
5.065094451045E2,2.448663986407E-1
5.097242501133E2,2.481467474215E-1
5.156315416578E2,2.567574824272E-1
5.185640756804E2,2.607227130444E-1
5.250406262703E2,2.673238329024E-1
5.280717232998E2,2.703359198959E-1
5.349354007164E2,2.764633133028E-1
5.377357070822E2,2.794299535044E-1
5.443618659153E2,2.864281155934E-1
5.475196638292E2,2.883215248147E-1
5.542718778037E2,2.946155159446E-1
5.572551713000E2,2.960804655677E-1
5.634897282286E2,3.002685439157E-1
5.666144604290E2,3.048120001096E-1
5.730058209851E2,3.138174427320E-1
5.763181517905E2,3.146955282879E-1
5.829537025644E2,3.182527450405E-1
5.858919735166E2,3.205996159326E-1
5.927544288735E2,3.249945969686E-1
5.959395361918E2,3.275014144559E-1
6.017454494681E2,3.359787163157E-1
6.047820094032E2,3.373890500526E-1
6.117925009844E2,3.405560416289E-1
6.149938972520E2,3.407133252687E-1
6.222780812551E2,3.427760696723E-1
6.251253942393E2,3.453583616440E-1
6.317624448132E2,3.498549683789E-1
6.349612417965E2,3.498368657759E-1
6.415703872869E2,3.526791636983E-1
6.445230673708E2,3.565277265694E-1
6.507793547676E2,3.641952684620E-1
6.539337168124E2,3.663316519058E-1
6.614304435858E2,3.680034092775E-1
6.643839602821E2,3.690990304060E-1
6.715568151638E2,3.733537752078E-1
6.746674601790E2,3.750371828175E-1
6.815407560881E2,3.782026090803E-1
6.845644161488E2,3.789451413312E-1
6.913716970044E2,3.789066176290E-1
6.945571644868E2,3.788885904603E-1
7.020323658678E2,3.810951665459E-1
7.051491728320E2,3.820654355975E-1
7.120314606305E2,3.825682844320E-1
7.151416814990E2,3.821308403926E-1
7.223779564054E2,3.833260924532E-1
7.255680359291E2,3.833873428062E-1
7.322897883151E2,3.791235226818E-1
7.351419272728E2,3.753993014213E-1
7.409267079219E2,3.639807163242E-1
7.433309828855E2,3.585930704312E-1
7.488747194502E2,3.458334660100E-1
7.510160933881E2,3.399155601743E-1
7.558088460230E2,3.251127727870E-1
7.576061218846E2,3.184506271609E-1
7.616615612992E2,3.035692433794E-1
7.634246942449E2,2.952832232424E-1
7.686732561186E2,2.718747318924E-1
7.718833875620E2,2.542470954487E-1
7.734952642996E2,2.466851163461E-1
7.765796034927E2,2.295617995001E-1
7.778895281861E2,2.210694193266E-1
7.808111955593E2,2.028331631074E-1
7.820068477999E2,1.943254971367E-1
7.843171605546E2,1.763934052747E-1
7.853017116865E2,1.679401772212E-1
7.875685111860E2,1.499728646770E-1
7.886839993138E2,1.408735150408E-1
7.908043806713E2,1.222223652378E-1
7.916792141025E2,1.133368664931E-1
7.937311682980E2,9.558346837512E-2
7.946303477122E2,8.737962274700E-2
7.965245597325E2,6.735997981898E-2
7.973181199445E2,5.897438484196E-2
8.000605252311E2,3.453378814462E-2
8.036937142743E2,1.561683456127E-2
8.061241659253E2,9.867590088592E-3
8.129274711454E2,4.545373989078E-3
8.161395124772E2,4.120682068139E-3
8.234349277033E2,3.659553214772E-3
8.266209033249E2,4.061365875959E-3
8.337899592746E2,4.440637525020E-3
8.368365859646E2,4.843238788419E-3
8.440568684054E2,3.702547459540E-3
8.470584270357E2,1.635404916419E-3
8.538017914386E2,1.289596898667E-4
8.570005884219E2,1.108570869431E-4
8.640973503322E2,7.069515619909E-5
8.672961473155E2,5.259255327543E-5
8.743929092259E2,1.243062253145E-5
8.775917062092E2,-5.671980392211E-6
8.849732124914E2,-5.677517180905E-5
8.880214710397E2,-4.845387166599E-4
8.952618877196E2,-5.255136171751E-4
8.983170299333E2,-5.428032503276E-4
9.054860377523E2,-1.423059445618E-3
9.995602279215E2,-1.223669283982E-3
